m,lambda,wz,wtr,dt,mu,eps,Nx,Nt,nL,beta,dim,step,Dens (Re),Dens (Im),KE (Re),KE (Im),Lz (Re),Lz (Im),PhiSq (Re),PhiSq (Im),S (Re),S (Im),S_del (Re),S_del (Im),S_int (Re),S_int (Im),S_tau (Re),S_tau (Im),S_trap (Re),S_trap (Im),S_w (Re),S_w (Im),Vint (Re),Vint (Im),Vtr (Re),Vtr (Im)
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,190,-0.01150779,0.018194811,0.04611135,-0.000219489,0.013856579,-0.195225251,0.957525472,0.013412676,38.55073447,0.262330785,37.58170121,0.26711292,0,0,0.969033262,-0.004782135,0,0,0,0,1.685201403,1.685201403,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,200,0.012674825,0.001327536,0.045325853,-6.17E-05,0.247137842,-0.106802157,0.967082118,0.006048368,38.46007663,0.177674878,37.50566934,0.172954046,0,0,0.954407294,0.004720832,0,0,0,0,1.616105987,1.616105987,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,210,0.008872083,0.005018476,0.045757048,-0.000266359,0.011092102,-0.269916574,0.974486912,0.00809024,38.85652595,0.121520881,37.89091112,0.118449117,0,0,0.965614829,0.003071764,0,0,0,0,1.721227577,1.721227577,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,220,0.022853666,-0.002161864,0.045806879,-0.000644402,-0.125139597,-0.096601467,0.974271146,-0.003572381,38.79138466,-0.288454504,37.83996718,-0.287043986,0,0,0.95141748,-0.001410517,0,0,0,0,1.803418853,1.803418853,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,230,0.015784967,0.012477717,0.046104827,-3.10E-05,-0.018307122,0.008095538,0.995424312,0.014930381,39.27152763,0.268970055,38.29188829,0.266517391,0,0,0.979639345,0.002452664,0,0,0,0,1.63723345,1.63723345,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,240,0.00886959,-0.002503138,0.045800516,-0.000503725,0.030101786,-0.237705099,0.975041404,0.000859646,38.74437963,-0.189428689,37.77820782,-0.192791473,0,0,0.966171814,0.003362784,0,0,0,0,1.620594554,1.620594554,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,250,-0.001120905,-0.014659602,0.045861112,-0.000996393,0.060494351,-0.047550623,0.974188797,-0.009323262,38.80327977,-0.5524802,37.82797007,-0.557816541,0,0,0.975309702,0.005336341,0,0,0,0,1.591873036,1.591873036,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,260,-0.007345669,-0.000847372,0.0454061,0.000192237,0.015501852,-0.055778009,0.956689043,0.001082383,38.30004606,0.135037272,37.33601134,0.133107517,0,0,0.964034713,0.001929755,0,0,0,0,1.342751279,1.342751279,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,270,0.010767796,-0.002049591,0.046562928,0.000146914,0.063180764,0.000537239,0.962954262,-0.007917226,38.88937233,-0.089718822,37.93718586,-0.083851187,0,0,0.952186466,-0.005867635,0,0,0,0,1.631670009,1.631670009,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,280,0.008646131,-0.001802719,0.04616153,-0.000477339,-0.071323841,0.003433771,0.97352744,-0.000997511,38.95575596,-0.143003216,37.99087465,-0.143808423,0,0,0.964881309,0.000805208,0,0,0,0,1.646378681,1.646378681,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,290,0.013714391,0.002085018,0.046424917,-0.000338458,0.036379538,-0.165289342,0.981124979,0.002874937,39.22713738,0.038257064,38.25972679,0.037467145,0,0,0.967410587,0.000789919,0,0,0,0,1.731536883,1.731536883,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,300,0.008053815,0.007448541,0.046634564,0.000367404,-0.146672297,-0.01239801,0.974974765,0.011591944,39.18363122,0.498476074,38.21671027,0.494332672,0,0,0.96692095,0.004143402,0,0,0,0,1.545665708,1.545665708,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,310,-0.013037563,0.007276385,0.046564123,0.000763424,-0.08691958,-0.023819827,0.944291881,0.009253751,38.3966817,0.624856838,37.43935226,0.622879472,0,0,0.957329444,0.001977366,0,0,0,0,1.891651511,1.891651511,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,320,-0.026143156,-0.002711513,0.047139205,-3.80E-05,0.061107791,-0.026985668,0.954117553,-0.005586251,38.83515702,0.019417944,37.85489631,0.022292681,0,0,0.980260709,-0.002874738,0,0,0,0,1.694903031,1.694903031,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,330,-0.015714237,0.017800285,0.046086618,0.000196614,0.065060991,0.002481477,0.944326193,0.007457597,38.28088059,0.318939313,37.32084016,0.329282001,0,0,0.96004043,-0.010342688,0,0,0,0,1.309078902,1.309078902,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,340,-0.004705652,0.041191956,0.046449113,0.001408757,-0.128568018,-0.081548851,0.964855629,0.029801855,38.88166826,1.231075802,37.91210698,1.242465902,0,0,0.969561281,-0.0113901,0,0,0,0,1.163076685,1.163076685,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,350,-0.00868904,0.041069353,0.044702891,0.001011843,-0.125270125,0.010056872,0.954750889,0.03865536,38.02766876,1.18276541,37.06422884,1.185179403,0,0,0.963439929,-0.002413993,0,0,0,0,1.590931607,1.590931607,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,360,0.010152461,0.015757603,0.046213112,0.001015611,-0.153725103,-0.026671813,0.964695971,0.028352987,38.73928351,0.917642818,37.78474,0.905047434,0,0,0.95454351,0.012595383,0,0,0,0,1.296515612,1.296515612,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,370,-0.003718865,0.000734248,0.045889011,0.000869944,-0.062174018,-0.024594568,0.957288463,0.00425717,38.51867944,0.403229153,37.55767211,0.399706231,0,0,0.961007328,0.003522922,0,0,0,0,1.401153832,1.401153832,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,380,0.013471316,-0.003112481,0.044812204,0.000318596,-0.029154325,-0.034678889,0.963738414,-0.004138303,38.19989259,-0.001912222,37.24962549,-0.000886399,0,0,0.950267098,-0.001025822,0,0,0,0,1.612285642,1.612285642,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,390,0.003834913,-0.000540724,0.044548335,-0.000154991,-0.195072534,0.141999308,0.963537344,-0.000747897,38.09588239,-0.204263375,37.13617995,-0.204056202,0,0,0.959702431,-0.000207173,0,0,0,0,1.446642015,1.446642015,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,400,0.013204505,0.000873494,0.044231146,-2.92E-05,-0.000763834,0.13665132,0.973351917,-0.003780878,38.18058345,-0.160913447,37.22043604,-0.156259075,0,0,0.960147412,-0.004654372,0,0,0,0,1.982903823,1.982903823,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,410,0.021595011,-0.007715277,0.045106669,0.000440599,-0.108977948,-0.053042629,0.989921772,-0.008192084,38.91974938,-0.063720726,37.95142262,-0.063243919,0,0,0.968326761,-0.000476807,0,0,0,0,2.013759819,2.013759819,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,420,0.01308417,-0.004738388,0.045636184,0.000655953,-0.090178981,-0.045734801,0.984813477,-0.010171249,39.08861786,-0.07328549,38.11688855,-0.067852629,0,0,0.971729306,-0.005432861,0,0,0,0,1.920367813,1.920367813,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,430,0.022615716,-0.006045463,0.045542132,0.000440531,-0.053962831,-0.096865257,0.992346246,-0.012320107,39.24228887,-0.242255347,38.27255834,-0.235980703,0,0,0.96973053,-0.006274644,0,0,0,0,1.798079508,1.798079508,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,440,0.018034604,0.018039963,0.04588599,0.002507005,0.022095198,-0.02756073,0.984632815,0.014758262,39.11491119,1.133153282,38.14831298,1.136434983,0,0,0.966598211,-0.003281701,0,0,0,0,1.801624695,1.801624695,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,450,0.018858276,0.009961964,0.046827318,0.002068368,0.014901834,-0.119565109,0.996166999,0.006994469,39.78954215,0.817259058,38.81223343,0.820226553,0,0,0.977308723,-0.002967495,0,0,0,0,1.747856582,1.747856582,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,460,0.008603994,0.005662835,0.045945321,0.002179942,-0.044234926,-0.220844839,0.96696404,0.00970682,38.803189,0.870474157,37.84482895,0.866430172,0,0,0.958360045,0.004043985,0,0,0,0,2.144031221,2.144031221,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,470,0.020148663,0.003016716,0.045263361,0.001055923,-0.203450397,-0.033810309,0.972408106,0.009466524,38.62621418,0.565947048,37.67395473,0.55949724,0,0,0.952259443,0.006449807,0,0,0,0,2.21776295,2.21776295,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,480,0.031840205,0.013818319,0.045087316,0.000939364,-0.277294554,-0.046240606,0.983659172,0.015732814,38.785865,0.675659178,37.83404603,0.673744683,0,0,0.951818967,0.001914495,0,0,0,0,2.291072931,2.291072931,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,490,0.034934541,-0.006291225,0.046477093,-0.000563468,-0.041208489,0.096230211,1.01182181,0.002259025,39.83977654,-0.10590061,38.86288927,-0.11445086,0,0,0.976887269,0.00855025,0,0,0,0,2.241006641,2.241006641,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,500,0.038721448,0.002947858,0.044842749,-0.000507804,-0.148695222,0.106760071,1.004340668,-0.003002007,39.00074071,-0.253107617,38.03512149,-0.247157751,0,0,0.96561922,-0.005949866,0,0,0,0,2.233536744,2.233536744,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,510,0.044216981,0.018940873,0.045211913,0.000295431,0.215677126,0.015814094,0.999127118,0.013755615,39.0700312,0.364577619,38.11512106,0.369762877,0,0,0.954910137,-0.005185258,0,0,0,0,1.966340246,1.966340246,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,520,0.046912308,0.006893656,0.044188673,-0.000321754,0.233051064,-0.013509124,1.001378533,0.004950171,38.68071252,0.056778973,37.72624629,0.058722457,0,0,0.954466225,-0.001943484,0,0,0,0,2.234261165,2.234261165,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,530,0.05949224,0.012584274,0.043829685,9.93E-05,0.118432875,0.017337751,1.012350531,0.008193992,38.78650517,0.278385238,37.83364688,0.282775521,0,0,0.95285829,-0.004390282,0,0,0,0,1.873853321,1.873853321,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,540,0.067469342,0.003184709,0.042919032,1.42E-07,0.080928232,0.015400871,1.015299732,0.004874197,38.44625164,0.131901283,37.49842125,0.130211796,0,0,0.947830389,0.001689487,0,0,0,0,1.539194974,1.539194974,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,550,0.061890178,0.003900002,0.043142137,-0.000393181,0.195447578,-0.182644734,1.019202499,-0.001354701,38.71190037,-0.100022049,37.75458805,-0.094767346,0,0,0.957312321,-0.005254703,0,0,0,0,2.002737414,2.002737414,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,560,0.046963556,-0.005155511,0.043693159,-0.000889734,0.027970011,-0.068800223,1.008202846,-0.00494741,38.74093288,-0.401069342,37.77969359,-0.401277443,0,0,0.96123929,0.000208101,0,0,0,0,1.920298687,1.920298687,0,0
